id,prefecture,prefecture_ruby,capital,capital_ruby
1,北海道,ほっかいどう,札幌市,さっぽろし
2,青森県,あおもりけん,青森市,あおもりし
3,岩手県,いわてけん,盛岡市,もりおかし
4,宮城県,みやぎけん,仙台市,せんだいし
5,秋田県,あきたけん,秋田市,あきたし
6,山形県,やまがたけん,山形市,やまがたし
7,福島県,ふくしまけん,福島市,ふくしまし
8,茨城県,いばらきけん,水戸市,みとし
9,栃木県,とちぎけん,宇都宮市,うつのみやし
10,群馬県,ぐんまけん,前橋市,まえばしし
11,埼玉県,さいたまけん,さいたま市,さいたまし
12,千葉県,ちばけん,千葉市,ちばし
13,東京都,とうきょうと,西新宿二丁目,にししんじゅくにちょうめ
14,神奈川県,かながわけん,横浜市,よこはまし
15,新潟県,にいがたけん,新潟市,にいがたし
16,富山県,とやまけん,富山市,とやまし
17,石川県,いしかわけん,金沢市,かなざわし
18,福井県,ふくいけん,福井市,ふくいし
19,山梨県,やまなしけん,甲府市,こうふし
20,長野県,ながのけん,長野市,ながのし
21,岐阜県,ぎふけん,岐阜市,ぎふし
22,静岡県,しずおかけん,静岡市,しずおかし
23,愛知県,あいちけん,名古屋市,なごやし
24,三重県,みえけん,津市,つし
25,滋賀県,しがけん,大津市,おおつし
26,京都府,きょうとふ,京都市,きょうとし
27,大阪府,おおさかふ,大阪市,おおさかし
28,兵庫県,ひょうごけん,神戸市,こうべし
29,奈良県,ならけん,奈良市,ならし
30,和歌山県,わかやまけん,和歌山市,わかやまし
31,鳥取県,とっとりけん,鳥取市,とっとりし
32,島根県,しまねけん,松江市,まつえし
33,岡山県,おかやまけん,岡山市,おかやまし
34,広島県,ひろしまけん,広島市,ひろしまし
35,山口県,やまぐちけん,山口市,やまぐちし
36,徳島県,とくしまけん,徳島市,とくしまし
37,香川県,かがわけん,高松市,たかまつし
38,愛媛県,えひめけん,松山市,まつやまし
39,高知県,こうちけん,高知市,こうちし
40,福岡県,ふくおかけん,福岡市,ふくおかし
41,佐賀県,さがけん,佐賀市,さがし
42,長崎県,ながさきけん,長崎市,ながさきし
43,熊本県,くまもとけん,熊本市,くまもとし
44,大分県,おおいたけん,大分市,おおいたし
45,宮崎県,みやざきけん,宮崎市,みやざきし
46,鹿児島県,かごしまけん,鹿児島市,かごしまし
47,沖縄県,おきなわけん,那覇市,なはし
