順位,利用者,編集回数,総編集回数,個人ページサイズ,編集量の平均,編集量の標準偏差
1,編集中,2699,12863,777,0.058116,111.028922
2,Kamaura,1758,2931,24,231.762,170.229073
3,タイポ女子,1739,4506,,33.984,43.91915
4,そらみみ,1556,5195,891,54.635815,119.865108
5,Eurotuber,1545,15893,8793,63.326,125.415309
6,まっきんりい,1361,3013,,-12.486974,116.610554
7,60.62.156.41,1300,1300,,9.266,137.997273
8,Ihimutefu,1262,49837,,12.132,44.592853
9,221.94.14.18,1199,26678,,56.666,96.732551
10,TOYO GTO,1058,12661,465,22.534,195.91334
11,曾禰越後守,1034,56763,10543,37.594,84.135469
12,Banku,1013,7869,1078,40.048387,116.255774
13,119.171.132.79,951,11995,,56.693548,243.841639
14,ふーくん,922,3618,,10.334669,174.63108
15,Dr.KRX,916,9717,139,1.97,85.860148
16,Yamato-i,912,40236,48,33.560241,111.050937
17,Sidiouschancellor,898,898,1614,-30.798,109.246113
18,Garakmiu2,851,8079,12167,124.651303,205.409427
19,MiraModreno,826,47740,41,81.566,149.050507
20,Championship2006,804,104706,,74.895582,125.642706
21,Takatakabouzu,798,1964,,11.49,118.292053
22,Norio-abc,773,10804,1038,30.442,64.101097
23,Stealth t,763,4682,3235,91.223849,163.886499
24,Dokudami,712,1170,249,73.472946,124.932642
,Love monju bot,704,1365,1396,7.454,30.194302
25,101.142.164.224,702,702,,133.372,194.131939
26,Zazanasawa,698,9337,653,53.767535,97.66446
27,Rain night-AWB,694,14113,1155,11.22,23.422289
28,Vielen dank,686,790,559,92.47,166.668801
29,るなあるてみす,684,75419,2544,22.366,69.471117
29,Otohakusyu,684,6168,609,41.984,83.292927
31,Kekero,675,2941,1089,38.148,86.780217
32,Cueeibu,647,839,235,-6.082164,148.027983
33,Frozen-mikan,643,9891,3381,18.382,207.922053
34,YOUJI,634,12910,21776,92.196,149.671739
35,113.38.179.234,631,1494,,13.232,105.346486
36,神奈川エーフレッツ,612,2809,,23.661458,232.021169
37,Tokoma191919,607,7896,,53.228,99.21639
38,レタス,598,39453,,126.848,61.739298
39,Umitori,596,8818,,108.558468,227.911221
40,Physalis-02A,590,6736,1506,97.150301,199.118326
41,桂鷺淵,577,19220,3124,76.346,172.324189
42,Tiyoringo,572,77190,6224,88.610442,255.459797
43,香辛料,550,26548,2570,148.370741,196.249639
44,210a,549,11493,480,23.723447,145.284407
45,Oorong-tea,539,5677,,134.720648,282.461475
46,2407:C800:34F0:A:0:0:2:F0BF,538,538,,76.108,145.805351
47,たいすけ55,534,8189,14073,49.173387,151.295741
48,Tahuantinsuyo,530,568,547,184.715431,212.158671
49,Ef3,527,4118,26885,142.004,237.726322
50,Nissk,524,16155,,85.556,166.907264
51,NOBU,517,5452,658,151.564257,263.53493
52,More blessing,515,14972,28463,117.8,185.06481
53,XRGD,496,10925,,69.219316,199.849416
54,Johnny Gan,495,523,,113.054,88.845344
55,Yanajin33,491,7852,5392,46.402,43.783335
56,Dr jimmy,489,124648,251,-57.384615,257.831964
57,Arvin,484,2656,1725,47.383534,164.591802
58,スカラマンガ,478,10019,591,51.364,157.313774
59,JungleCrow,469,5324,5478,54.406814,235.274616
60,CommonsDelinker,468,39729,7681,-45.018,60.731159
61,Terumasa,466,8806,,131.232932,193.971176
62,180.16.155.30,455,1942,,50.448,127.610733
63,チンドレ・マンドレ,447,13207,4854,174.382294,297.011288
64,沙馬琉寛土,444,1763,377,132.726,158.542067
65,Pekanpe,441,2555,5988,83.957746,201.063511
66,Puronohu,435,761,30,75.247485,134.09976
67,H ichi34,425,2579,,64.396,58.723685
68,タケナカ,416,20107,684,181.382231,339.268252
69,山川草木,413,3913,,37.992,146.3435
70,Enyokoyama,407,4798,0,12.263485,143.552306
71,極楽サタン,400,15053,,22.786,64.869409
72,TempuraDON,396,6674,69,70.772,174.055244
73,JapaneseA,395,5161,3369,177.702213,304.280462
74,けぶお,392,2851,,62.969697,113.16155
75,ミラー海神,389,3047,,71.53629,92.750634
76,花蝶風月雪月花警部,386,38396,12,13.322,218.535906
77,HOPE,382,19809,2892,85.305835,256.500076
78,須磨寺横行,380,11882,498,-7.963928,316.527272
