タイトル,星①,星②,星３,星４,星５
ケリ姫スイーツ,8703,7654,40346,120019,396464
LINE ポコパン,12549,14028,68635,119597,198020
パズル＆ドラゴンズ,20064,8385,16251,29322,265753
ダービーインパクト,650,714,4368,16894,33958
古の女神と宝石の射手,547,505,3188,10069,39864
LINE ぽんぽんぽん,508,799,5307,12082,26378
ウチの姫さまがいちばんカワイイ,314,429,3900,12411,27315
ハローキティのパズルチェイン,452,526,3902,9247,12410
HELLO KITTY COIN,1679,1225,3385,7388,12550
ヘイ・デイ (Hay Day),1356,809,1995,4913,16016
LINE クイズ,606,868,4854,8531,9371
LINE フィッシュアイランド,425,690,3372,5926,10325
一筆書き,325,448,1977,5229,12000
LINE フラッフィー,607,1009,3614,4203,7793
クイズRPG 魔法使いと黒猫のウィズ,2367,824,991,1869,7078
コインサーガ 【コイン落とし×カードバトルRPG】,208,219,1234,3402,7744
LINE POP,7463,1424,1147,785,1561
ドラゴンリーグＸ,660,126,298,1112,10040
関ヶ原演義,483,108,183,1024,8912
ルクサンブラ～光と闇の戦記～面白いファンタジーRPG,190,193,1437,2970,5780
ジュエルマニア?,274,263,833,2857,5716
おしおきパンチガール!!!,64,97,676,2409,6149
テトリス?モンスター,790,303,723,1881,5339
魁!!男塾～連合大闘争編～【週刊少年ジャンプの伝説的漫画が無料RPGアプリで登場..,243,332,1498,2129,4238
ソラノアーク ～天界のラビリンス～,145,157,1221,2519,4331
ギルティドラゴン [本格3D RPG],732,162,302,1007,5230
三国志パズル大戦,1639,306,510,977,3667
サウザンドメモリーズ【ｷｬﾗﾘﾝｸRPG】千メモ！,277,115,217,938,5125
ワンダーフリック,4157,405,250,146,500
ゴシップガール～セレブな彼の誘惑～,27,30,182,934,3798
RPGエレメンタルアームズ[ファンタジーオンライン],631,216,341,747,2825
ロックマン クロスオーバー,331,102,185,453,3647
栄光のガーディアンバトル【無料】カードバトルゲーム,297,100,355,779,3000
ラーメン魂,65,50,249,785,3138
ラブライブ！スクールアイドルフェスティバル,397,190,340,527,2425
Aerox,541,97,181,638,2386
カオスドライヴ,386,68,154,552,2381
LINE DOZER コイン落としゲーム,1349,573,708,401,485
レギオンウォー[全世界リアルタイムギルド対戦RPG],121,30,116,489,2639
疾風幕末演義,232,25,82,346,2433
出動！美女ポリス,106,30,84,423,2221
雄覇天地,87,71,256,683,1593
ドラゴンクエスト ポータルアプリ,585,142,196,252,1467
ブラッドマスク -ヴァンパイアRPG-,443,132,205,376,1259
ドリフトスピリッツ,235,62,120,435,1557
GTレーシング2：The Real Car Experience,63,43,123,419,1575
49人目の少女 -狂気のアイドル育成ゲーム- メール、カメラ、LINE(ライン)..,102,127,416,509,950
あやかし百鬼夜行,65,3,74,285,1657
誓いのキスは突然にby女子ゲー,30,17,133,599,1198
みんなでまおう【リアルタイム対戦型ギルドバトル！！基本無料！】,42,17,88,383,1339
パズルダービー,80,39,140,450,1078
マスター オブ カオス,362,79,143,329,863
美少女カードでパズル！神姫覚醒メルティメイデン[無料RPG],52,18,50,275,1264
イザナギオンライン -Samurai Ninja-,595,109,166,159,579
脳トレクエスト2,90,42,63,203,1144
まりもダンジョン,85,42,143,292,979
シークレット◆アクトレス～恋の専属契約～,20,61,333,588,495
光速軌道アバタードライブ,109,69,112,221,775
マイポケットバー,99,101,267,260,278
三国志戦姫～乱世に舞う乙女たち～,15,5,28,146,596
ぷち戦車隊～オンライン戦線～,51,19,51,134,401
斬-Xan- 戦国闘檄・無双伝,40,8,29,119,371
Empire (エンパイア・フォーキングダム),119,35,77,102,219
PICTLOGICA FINAL FANTASY,140,71,48,87,201
壮絶大戦争バトル【欲しがりません、勝つまでは！】,67,13,33,59,328
ストリートファイター×オールカプコン,46,13,31,74,209
スーパー戦隊バトベース,32,9,27,62,225
精子 vs 卵子,25,22,38,60,186
脱出ゲームカラオケBOX,17,1,5,34,235
聖魔爛戦！イクサヒメ-リアルタイムパーティー対戦RPG-,27,7,9,59,184
ドラゴンエクリプス,33,3,19,61,157
脱出ゲーム牛丼屋,13,3,9,34,183
Top Eleven - プロサッカーチームの監督になろう,38,14,25,35,108
返信ください?Xmas?,13,8,17,60,101
カピバラ ヘブン ?人喰いカピバラの恐怖?,13,2,17,33,94
モンハン４G for iphone,64,8,18,3,64
トゲトゲ球よけ,17,6,16,21,88
逃走大怪盗,15,10,15,16,90
ゼニア王国 : 王座奪還の戦い,27,7,19,25,65
BLイケメン学園◆俺プリ×Cross！～俺が学園のお姫様！？～,6,5,4,28,84
LINE NEKO JUMP,56,10,9,12,39
イケメン夜曲◆ロミオと秘密のジュリエット　女性向け乙女・恋愛ゲーム,11,9,6,29,64
サッカー日本代表イレブンヒーローズ,14,2,5,20,57
イライラデスマッチ,9,5,9,9,55
スゴロク三国志*,17,5,6,12,40
たたかえっ！ぱんどせる！！～グルメ大王と魔法のパズル～,3,0,6,15,54
キスの続きはミッションの後で,9,2,5,13,41
鬼武将,5,2,12,7,41
ひぐらしのなく頃に 祭【DonDelパチスロ】,11,4,5,13,32
大海賊時代,4,2,3,9,38
ガンダムカードコレクション,15,3,4,7,21
掌中三国,15,4,1,8,18
一撃で撃ち抜け！,0,4,4,8,29
２ちゃんZ,16,3,1,1,20
イライラおばけ屋敷,7,3,6,5,16
ぐるぐるクエスト,2,1,1,1,24
ミリオンダービー,4,3,6,3,11
【無料アクションRPGゲーム】セフィーラ,0,3,2,4,15
