no,日,時間,編集したページ,編集者,追加字数,削除字数
1,2013/9/4,18:37:25,GameData/Skill (スキル),BiO9B9t4xiT,3,3
2,2013/9/4,18:33:57,GameData/Skill (スキル),BiO9B9t4xiT,4,4
3,2013/6/11,20:50:12,GameData/Skill (スキル),keYEKDrRYl,1,2
4,2013/3/19,21:46:12,GameData/Skill (スキル),E5oN997tA9v,10,3
5,2012/12/1,14:27:46,GameData/Skill (スキル),HrG78k72T2s,2,3
6,2012/11/28,1:42:00,GameData/Skill (スキル),-t1buG66449,1,1
7,2012/9/17,0:25:04,GameData/Skill (スキル)GameData/Skill (スキル),xVsvnquz834,1,1
8,2012/8/11,12:15:38,GameData/Skill (スキル),cZDLuGRhefQ,13,6
9,2012/6/9,20:53:23,GameData/Skill (スキル),QH5pPrrgWOp,26,26
10,2012/5/27,15:16:02,GameData/Skill (スキル),VJzcwvPo,1,2
11,2012/5/27,1:13:09,GameData/Skill (スキル),sOr5vckj,3,4
12,2012/5/26,23:36:00,GameData/Skill (スキル),cCEggKEl,17,18
13,2012/5/26,17:04:48,GameData/Skill (スキル),BbG7zuvU,1,1
14,2012/5/26,16:57:36,GameData/Skill (スキル),BbG7zuvU,4,5
15,2012/5/21,0:01:35,GameData/Skill (スキル),ovw6-gRY,1,2
16,2012/4/24,17:35:57,GameData/Skill (スキル),b6itb_dq,4,4
17,2012/3/29,5:00:07,GameData/Skill (スキル),a-BIBUvd,3,4
18,2012/3/28,22:54:46,GameData/Skill (スキル),bG6lmWTj,1,1
19,2012/3/8,11:38:59,GameData/Skill (スキル),RRRUg4Or,1,388
20,2012/3/8,11:19:42,GameData/Skill (スキル),Sxgxd5cp,1,385
21,2012/2/27,21:45:28,GameData/Skill (スキル),AxZObLjd,1,2
22,2012/2/17,11:27:16,GameData/Skill (スキル),YVXPr2aQ,1,1
23,2012/2/17,7:59:33,GameData/Skill (スキル),OXR1yTQS,178,178
24,2012/1/24,19:06:39,GameData/Skill (スキル),UoVOBV9N,1,2
25,2012/1/18,21:24:43,GameData/Skill (スキル),C-ArNILu,1,1
26,2012/1/18,21:12:38,GameData/Skill (スキル),C-ArNILu,1,1
27,2012/1/18,20:20:53,GameData/Skill (スキル),C-ArNILu,2,2
28,2012/1/18,17:40:09,GameData/Skill (スキル),C-ArNILu,1,1
29,2012/1/18,17:37:31,GameData/Skill (スキル),C-ArNILu,2,2
30,2012/1/18,17:37:31,GameData/Skill (スキル),C-ArNILu,1,1
31,2012/1/18,16:06:34,GameData/Skill (スキル),C-ArNILu,1,1
32,2012/1/18,15:36:41,GameData/Skill (スキル),C-ArNILu,1,1
33,2012/1/15,0:11:25,GameData/Skill (スキル),MIR-GZO1,156,171
34,2012/1/10,19:41:38,GameData/Skill (スキル),Runq4ebp,1,1
35,2012/1/7,10:08:31,GameData/Skill (スキル),G6duaKBa,1,4
36,2012/1/7,10:06:11,GameData/Skill (スキル),G6duaKBa,1,2
37,2012/1/2,20:57:23,GameData/Skill (スキル),eXpMuKzx,1,2
38,2011/12/31,17:06:51,GameData/Skill (スキル),TU45o_y1,41,8
39,2011/12/31,16:31:09,GameData/Skill (スキル),TU45o_y1,4,5
40,2011/12/31,13:03:29,GameData/Skill (スキル),TU45o_y1,1,2
41,2011/12/31,12:18:16,GameData/Skill (スキル),TU45o_y1,1,1
42,2011/12/31,12:11:50,GameData/Skill (スキル),TU45o_y1,180,173
43,2011/12/31,10:24:12,GameData/Skill (スキル),TU45o_y1,2,2
44,2011/12/31,10:22:32,GameData/Skill (スキル),TU45o_y1,6,6
45,2011/12/31,10:15:53,GameData/Skill (スキル),TU45o_y1,8,9
46,2011/12/31,10:12:47,GameData/Skill (スキル),TU45o_y1,9,10
47,2011/12/31,10:08:40,GameData/Skill (スキル),TU45o_y1,10,10
48,2011/12/23,23:12:25,GameData/Skill (スキル),BeC1O3zx,3,3
49,2011/12/21,3:18:12,GameData/Skill (スキル),qRvhCYJ-,0,0
50,2011/12/18,15:03:39,GameData/Skill (スキル),lXanFoZT,1,1
51,2011/12/18,10:41:12,GameData/Skill (スキル),t192Raj9,1,2
52,2011/12/18,4:48:22,GameData/Skill (スキル),nkqkvJjM,5,6
53,2011/12/18,0:30:21,GameData/Skill (スキル),SWVFegPH,2,3
54,2011/12/17,16:01:39,GameData/Skill (スキル),0pJTDWTy,1,1
55,2011/12/17,16:01:18,GameData/Skill (スキル),0pJTDWTy,0,4
56,2011/12/14,23:16:21,GameData/Skill (スキル),eB3j1nyB,2,2
57,2011/12/14,21:16:55,GameData/Skill (スキル),eB3j1nyB,3,2
58,2011/12/14,21:16:06,GameData/Skill (スキル),eB3j1nyB,3,1
59,2011/12/14,21:08:35,GameData/Skill (スキル),eB3j1nyB,394,0
60,2013/7/10,22:18:18,GameData/種族,1cLsW6803P9,3,1
61,2013/7/10,22:11:10,GameData/種族,1cLsW6803P9,40,14
62,2013/3/9,18:53:58,GameData/種族,9iCne1slaAT,102,606
63,2013/3/9,17:30:56,GameData/種族,vy3IZCjlhAX,606,104
64,2012/2/20,17:20:58,GameData/種族,C2S3JBMa,0,27
65,2012/1/30,0:06:47,GameData/種族,GXjXVarz,0,78
66,2012/1/30,0:04:23,GameData/種族,GXjXVarz,106,2
67,2012/1/30,0:01:48,GameData/種族,GXjXVarz,1,2
68,2012/1/30,0:01:24,GameData/種族,GXjXVarz,1,2
69,2012/1/29,23:58:56,GameData/種族,hH3Pfjbq,1,2
70,2012/1/29,23:58:28,GameData/種族,hH3Pfjbq,1,2
71,2012/1/29,23:57:56,GameData/種族,hH3Pfjbq,1,2
72,2012/1/29,23:57:31,GameData/種族,hH3Pfjbq,1,2
73,2012/1/29,23:57:05,GameData/種族,hH3Pfjbq,1,2
74,2012/1/29,23:56:36,GameData/種族,hH3Pfjbq,1,2
75,2012/1/29,23:55:35,GameData/種族,hH3Pfjbq,1,2
76,2015/12/22,0:51:51,GameData/Powers,X1MvY3Np1-O,1,1
77,2015/5/25,12:09:39,GameData/Powers,ebrp02Kk73U,1,1
78,2015/4/17,21:58:12,GameData/Powers,W8T7ZwsUiX-,1,1
79,2014/5/3,19:48:57,GameData/Powers,-uQaYB4HXrP,29,29
80,2014/4/20,16:36:25,GameData/Powers,g37_VGUNqVS,25,25
81,2014/4/18,23:45:30,GameData/Powers,eGBpk0OwqVS,13,7
82,2013/2/8,0:07:40,GameData/Powers,DtXIhzIbGag,1,1
83,2012/12/22,23:15:31,GameData/Powers,4VYbbKv40Sl,1,1
84,2012/11/8,11:56:14,GameData/Powers,kgPhu0UQjpx,1,1
85,2012/11/6,14:48:21,GameData/Powers,Nxv492fE1ka,1,1
86,2012/9/1,4:10:11,GameData/Powers,Q1pyRKuzA1V,1,1
87,2012/8/10,19:56:04,GameData/Powers,SHyuqVMg-HH,1,1
88,2012/8/10,19:53:51,GameData/Powers,SHyuqVMg-HH,1,1
89,2012/7/21,8:35:37,GameData/Powers,fDTpYeaRy4H,1,1
90,2012/7/21,8:35:17,GameData/Powers,fDTpYeaRy4H,1,1
91,2012/7/21,8:34:33,GameData/Powers,fDTpYeaRy4H,2,2
92,2012/3/7,3:42:30,GameData/Powers,XfQOgpRc,1,1
93,2012/2/21,3:15:32,GameData/Powers,LF4gDzAI,1,1
94,2012/2/21,3:15:09,GameData/Powers,LF4gDzAI,3,3
95,2012/2/21,3:14:29,GameData/Powers,LF4gDzAI,3,3
96,2012/1/27,23:10:53,GameData/Powers,ODmoxpMm,2,2
97,2012/1/20,5:29:16,GameData/Powers,xjCNBdEf,1,2
98,2012/1/14,0:44:39,GameData/Powers,TRQ8YTZl,1,1
99,2012/1/14,0:32:14,GameData/Powers,TRQ8YTZl,1,0
100,2012/1/13,9:20:32,GameData/Powers,4XTtGWpH,1,1
101,2012/1/13,9:20:12,GameData/Powers,4XTtGWpH,1,0
102,2012/1/12,4:20:22,GameData/Powers,crDhrXUF,1,1
103,2012/1/12,4:19:38,GameData/Powers,crDhrXUF,1,0
104,2012/1/6,22:18:12,GameData/Powers,CZ1fXpJ6,2,2
105,2012/1/6,22:17:43,GameData/Powers,CZ1fXpJ6,3,3
106,2012/1/6,22:05:37,GameData/Powers,CZ1fXpJ6,1,1
107,2012/1/6,22:03:18,GameData/Powers,CZ1fXpJ6,3,2
108,2012/1/6,21:53:26,GameData/Powers,CZ1fXpJ6,5,1
109,2012/1/6,21:42:22,GameData/Powers,CZ1fXpJ6,1,0
110,2012/1/6,21:39:01,GameData/Powers,CZ1fXpJ6,2,0
111,2012/1/6,21:35:01,GameData/Powers,CZ1fXpJ6,6,2
112,2012/1/6,21:30:05,GameData/Powers,CZ1fXpJ6,6,1
113,2012/1/6,21:22:48,GameData/Powers,CZ1fXpJ6,1,1
114,2012/1/6,21:21:19,GameData/Powers,CZ1fXpJ6,6,1
115,2012/1/6,21:15:15,GameData/Powers,CZ1fXpJ6,5,1
116,2012/1/6,21:10:11,GameData/Powers,CZ1fXpJ6,9,0
117,2013/8/12,8:32:02,GameData/魔法,HxNULrLwYok,2,2
118,2013/7/23,21:32:24,GameData/魔法,209wMHuch2Q,6,6
119,2013/4/29,16:54:36,GameData/魔法,abyRJ3l33Cd,6,6
120,2013/4/29,16:40:42,GameData/魔法,abyRJ3l33Cd,16,16
121,2013/4/15,20:57:11,GameData/魔法,YLyw6t4J3Cd,2,1
122,2013/4/15,20:43:07,GameData/魔法,YLyw6t4J3Cd,24,14
123,2013/4/15,1:17:00,GameData/魔法,up9ZyUnu3Cd,3,3
124,2013/4/15,1:02:45,GameData/魔法,up9ZyUnu3Cd,1,1
125,2013/4/15,0:39:16,GameData/魔法,up9ZyUnu3Cd,6,4
126,2013/4/15,0:15:03,GameData/魔法,up9ZyUnu3Cd,8,1
127,2013/4/9,13:53:16,GameData/魔法,zXAPwvgi3Cd,1,1
128,2013/3/24,17:00:31,GameData/魔法,tlysDBfUTY2,0,1
129,2013/3/11,16:12:33,GameData/魔法,LgjdbtYYyUu,13,5
130,2013/3/11,16:08:43,GameData/魔法,LgjdbtYYyUu,35,64
131,2013/3/11,15:53:00,GameData/魔法,LgjdbtYYyUu,0,1
132,2013/3/9,17:21:27,GameData/魔法,vy3IZCjlhAX,0,0
133,2013/3/9,17:21:06,GameData/魔法,vy3IZCjlhAX,66,1
134,2013/3/9,17:19:38,GameData/魔法,vy3IZCjlhAX,4,45
135,2013/2/9,12:03:50,GameData/魔法,rR5BukZVxLO,1,1
136,2012/9/1,20:12:47,GameData/魔法,gWYdC93GJJq,1,1
137,2012/8/31,16:12:40,GameData/魔法,pfiNp_42mPQ,1,1
138,2012/6/25,5:17:08,GameData/魔法,imxPL4Bj7iI,3,4
139,2012/6/23,12:45:16,GameData/魔法,N78e78_rNG1,2,2
140,2012/6/7,5:01:37,GameData/魔法,Inh6wXNkXxt,1,2
141,2012/6/4,0:27:16,GameData/魔法,hMGPDKaerLm,4,5
142,2012/5/23,1:39:46,GameData/魔法,KotZwxR3,3,0
143,2012/4/11,18:22:12,GameData/魔法,el7mMXsi,102,103
144,2012/4/11,9:51:47,GameData/魔法,xCXnf4UG,1,0
145,2012/4/5,0:06:33,GameData/魔法,wa9f8qOF,1,1
146,2012/3/17,19:17:56,GameData/魔法,kBRU-7hP,0,4
147,2012/3/17,19:16:17,GameData/魔法,kBRU-7hP,9,10
148,2012/3/14,14:49:29,GameData/魔法,jonUn6o-,1,1
149,2012/2/27,2:36:14,GameData/魔法,oDFDAtXR,1,1
150,2012/2/22,20:14:10,GameData/魔法,Yt0KzMFI,9,10
151,2012/2/10,11:08:43,GameData/魔法,l7KRIUaW,1,2
152,2012/2/10,11:06:01,GameData/魔法,l7KRIUaW,2,3
153,2012/1/28,15:26:58,GameData/魔法,BjEYmx1n,1,1
154,2012/1/27,4:04:24,GameData/魔法,VZBJvlP8,3,3
155,2012/1/16,11:54:08,GameData/魔法,dNVuo8IX,2,2
156,2012/1/16,11:51:08,GameData/魔法,dNVuo8IX,1,1
157,2012/1/15,19:19:54,GameData/魔法,UzEljPAe,3,3
158,2012/1/14,15:08:12,GameData/魔法,Ckb37w-w,15,16
159,2012/1/13,12:58:55,GameData/魔法,eIoET34G,9,10
160,2012/1/13,11:45:35,GameData/魔法,eIoET34G,10,10
161,2012/1/9,21:27:50,GameData/魔法,SrIRJ0UB,1,1
162,2012/1/8,19:25:20,GameData/魔法,yoQMu7RH,7,7
163,2012/1/8,16:19:09,GameData/魔法,lN8IOgyx,1,1
164,2012/1/8,16:18:13,GameData/魔法,lN8IOgyx,1,1
165,2012/1/8,16:16:32,GameData/魔法,yoQMu7RH,11,11
166,2012/1/8,16:12:44,GameData/魔法,yoQMu7RH,6,6
167,2012/1/8,16:02:25,GameData/魔法,yoQMu7RH,6,6
168,2012/1/7,16:11:06,GameData/魔法,MjvvtzZM,5,5
169,2012/1/3,21:58:47,GameData/魔法,F1Vjwhzf,1,1
170,2012/1/3,21:29:54,GameData/魔法,QYpDchqd,1,1
171,2012/1/3,18:52:40,GameData/魔法,76SqG5JC,1,1
172,2012/1/1,12:10:34,GameData/魔法,a04puA3I,2,2
173,2012/1/1,12:04:23,GameData/魔法,a04puA3I,1,2
174,2011/12/27,15:17:45,GameData/魔法,xM46hFB-,1,1
175,2011/12/20,16:41:34,GameData/魔法,nvXwRixf,5,5
176,2011/12/19,23:49:22,GameData/魔法,n7JyJeKR,1,1
177,2011/12/19,22:20:37,GameData/魔法,n7JyJeKR,1,1
