screenName,statuses,friends,followers,tweet,rcount,fcount
084mayu,54383,2595,3101,https://twitter.com/084mayu/status/542144032474800129,33,8
10anj10,19314,352,2852,https://twitter.com/10anj10/status/542155909573517312,102,111
10xSo,3474,269,274,https://twitter.com/10xSo/status/542296969939406848,1,2
178tei,11632,1683,9766,https://twitter.com/178tei/status/540788759831142400,356,125
1937sportsedan,9633,56500,53623,https://twitter.com/1937sportsedan/status/542118964566822912,121,225
1990_1001,7588,24,74,https://twitter.com/1990_1001/status/541773979464122369,4090,1336
3190,2070,1470,12974,https://twitter.com/3190/status/542204479714516992,5,0
44gi,14482,268,847,https://twitter.com/44gi/status/542129389123555328,13,8
47news,378781,2,214458,https://twitter.com/47news/status/542334617726906368,575,109
510nut,6800,239,247,https://twitter.com/510nut/status/542312999185166337,2,0
5pin_pk,35349,772,850,https://twitter.com/5pin_pk/status/542168749504073728,284,232
61503891,11623,678,236,https://twitter.com/61503891/status/542380494717849601,1,1
69rn25nn,39220,158,3958,https://twitter.com/69rn25nn/status/542320078725730309,176,630
808Towns,51549,3642,11502,https://twitter.com/808Towns/status/542488767391490048,3,2
8ttyan,38070,853,343,https://twitter.com/8ttyan/status/542149275166052352,2,1
9696Q,18619,12918,15337,https://twitter.com/9696Q/status/542344999396864000,6,17
a899haru,300205,607,953,https://twitter.com/a899haru/status/541793264353828865,1485,950
abalol,251637,4758,4790,https://twitter.com/abalol/status/542240837267382272,1,0
ABC,99186,860,3758590,https://twitter.com/ABC/status/541971440614920192,227,90
abee2,37493,925,1834,https://twitter.com/abee2/status/542325774145966080,3,3
AbeShinzo,934,4,426005,https://twitter.com/AbeShinzo/status/540300250489966592,2014,639
ab_t,1181,287,13974,https://twitter.com/ab_t/status/542289345219002368,59,38
ac_k_y,218439,956,1072,https://twitter.com/ac_k_y/status/542323976823767040,1,1
adenoi_today,63511,27,1196,https://twitter.com/adenoi_today/status/542089527934738432,475,359
AdobeSupportJ,2065,8984,11901,https://twitter.com/AdobeSupportJ/status/542491915178893312,6,0
aiueoko_bot,31576,331,329,https://twitter.com/aiueoko_bot/status/542288282433097728,19,20
aIzumiC_E8,36174,139,45,https://twitter.com/aIzumiC_E8/status/542243140896165889,2,3
ak20_x,2123,231,252,https://twitter.com/ak20_x/status/542193163981447168,1,1
aka79241565,184,0,2699,https://twitter.com/aka79241565/status/541051480078159872,390,312
akiko_lawson,120473,215072,634391,https://twitter.com/akiko_lawson/status/542302661156950016,56,28
akirathepippo,9400,1765,1148,https://twitter.com/akirathepippo/status/542289106974162944,3,0
AKI_palu,28954,521,681,https://twitter.com/AKI_palu/status/542327562416832512,2,1
Akkiesoft,205181,111,614,https://twitter.com/Akkiesoft/status/542281119333220352,66,56
AlgebraFact,3072,14,55887,https://twitter.com/AlgebraFact/status/542401115996704769,9,2
Alpha_Able,99249,1126,1409,https://twitter.com/Alpha_Able/status/542294812422971392,8124,3583
Anarchy_gin,103706,257,567,https://twitter.com/Anarchy_gin/status/541986716504956928,589,391
ANA_travel_info,1257,1,207443,https://twitter.com/ANA_travel_info/status/542241837310697472,1376,1317
android_sokuho,22829,3590,5429,https://twitter.com/android_sokuho/status/542255029176893441,30,11
AngelBeats_SSS,1142,0,30459,https://twitter.com/AngelBeats_SSS/status/542272844562837504,97,27
animal__baby,371,0,14969,https://twitter.com/animal__baby/status/541981679783383040,3524,6359
anime_yoyaku,50059,3929,30641,https://twitter.com/anime_yoyaku/status/542179485148131329,47,38
AntiBayesian,20067,281,8271,https://twitter.com/AntiBayesian/status/542192658978852864,1,2
aobmht,3936,284,2785,https://twitter.com/aobmht/status/540764057632911360,5336,6237
aokijuntarou,94093,2306,3772,https://twitter.com/aokijuntarou/status/541863732188413952,811,515
aokomoriuta,106313,227,887,https://twitter.com/aokomoriuta/status/542344407236632576,1,0
aonooo,29562,198,15213,https://twitter.com/aonooo/status/541589766949462016,1076,1754
aq3948,2296,13,1888,https://twitter.com/aq3948/status/542180652045463552,24,6
arthurclaris,31293,385,1688,https://twitter.com/arthurclaris/status/542388527481118721,23,8
asahi_soseki,422,8,631,https://twitter.com/asahi_soseki/status/542218999799369728,69,41
asarin,88782,98,1581,https://twitter.com/asarin/status/542185649453817856,15,14
asupe_yakumo,136074,505,1667,https://twitter.com/asupe_yakumo/status/542272753764548609,3,2
AtlantisAirport,9237,1832,1785,https://twitter.com/AtlantisAirport/status/542289041702391809,7,10
atnr,18193,398,520,https://twitter.com/atnr/status/542210804699779073,1,1
at_douga,52482,20679,20406,https://twitter.com/at_douga/status/542335877301563392,1,0
AyahSaki,49468,166,1123,https://twitter.com/AyahSaki/status/542275880135827458,2,5
ayu_pieri,304,4547,4777,https://twitter.com/ayu_pieri/status/542464909565374464,63,29
a_aburaya,27049,583,643,https://twitter.com/a_aburaya/status/542267066472873985,4284,2631
A_kirisaki,175104,366,2966,https://twitter.com/A_kirisaki/status/540887018687832066,13,7
a_ne1103,1656,1474,1657,https://twitter.com/a_ne1103/status/540486669481177088,1581,1472
babyzlov,14461,272,267,https://twitter.com/babyzlov/status/542319198844628992,44,60
bachiken1,85065,538,518,https://twitter.com/bachiken1/status/542149401091657729,270,118
berlinbau,4132,296,1215,https://twitter.com/berlinbau/status/542082737176604673,18,27
BerlinPhilJapan,804,3,7815,https://twitter.com/BerlinPhilJapan/status/542224655386697729,53,76
BG_line,16288,336,337,https://twitter.com/BG_line/status/540538146392256512,442,142
bitchhime,12850,394,1828,https://twitter.com/bitchhime/status/542184963362156544,70,26
BitterChoco0807,6322,49,76,https://twitter.com/BitterChoco0807/status/542227235801812992,2,2
blackenedgold,20766,493,435,https://twitter.com/blackenedgold/status/542316727862710272,2,0
BlackHandMaiden,383700,1020,1544,https://twitter.com/BlackHandMaiden/status/542281948782018560,78,38
black_justice_x,69,3589,3451,https://twitter.com/black_justice_x/status/524852962858774529,241,72
blg_ukiuki,14633,365,236,https://twitter.com/blg_ukiuki/status/542223526367731712,1,2
bobobo_boi,45365,729,8486,https://twitter.com/bobobo_boi/status/542252117214257152,2,0
boc_srs,579,38,207,https://twitter.com/boc_srs/status/541968085024927744,16386,15675
Bonezine,128912,2963,2696,https://twitter.com/Bonezine/status/541834603544076289,18,5
book_and_beer,8508,1377,12356,https://twitter.com/book_and_beer/status/541803810956398592,11,40
BST_BEMANI,84,9,10531,https://twitter.com/BST_BEMANI/status/542251123810131968,2084,701
